label,cleaned_message
ham,take exam march 3
ham,also hi wesley
spam,2000 seasonal contest
ham,actually nvm got hella cash still lt gt ish
ham,beach
ham,sac score big hundred set batsman
ham,gud mrng dear hav nice day
ham,going ride bike
ham,getting worried derek taylor already assumed worst
ham,accidentally deleted message resend please
spam,cash prize 25000
spam,block breaker come deluxe format new feature great graphic mobile buy 5 replying get bbdeluxe take challenge
spam,xmas iscoming ur awarded either 500 cd gift voucher free entry 2 r 100 weekly draw txt music 87066 tnc url
spam,urgent please call regarding warranty
spam,limited offer 30 laptop
ham,congrats treat pending mail 2 day mail thru respect mother home check mail
spam,nokia 7250i take part send nokia 86021 hg suite342 2lands row w1jhl 16
spam,special offer 45
ham,1 go write msg 2 put dictionary mode 3 cover screen hand 4 press lt gt 5 gently remove ur hand enjoy
ham,book lesson msg call work sth going get spec membership px3748
ham,lol boo hoping laugh
spam,urgent please call regarding protection
ham,hello news job making wait fifth week yeah im woozles weasel exeter still home 3
spam,2nd attempt contract u week top prize either 1000 cash 200 prize call phone 1
spam,congrats 1 year special cinema pa 2 call phone 6 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm
spam,special offer get 80 watch
ham,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob
ham,know msg recently
ham,much cost approx per month
spam,1000 holiday contest
ham,nah dub je still buff
ham,worse u half way stop better complete
spam,urgent trying contact last weekend draw show 900 prize guaranteed call phone 9 claim code s89 valid 12hrs
spam,urgent trying contact last weekend draw show u 1000 prize guaranteed call phone 5 claim code k52 valid 12hrs 150p pm
spam,winner selected macbook pro
spam,summer finally fancy chat flirt sexy single yr area get matched reply summer free 2 join optout txt stop help phone 4
ham,4 taco 1 raja burrito right
spam,urgent mobile number awarded ukp 2000 prize guaranteed call phone 5 landline claim 3030 valid 12hrs 150ppm
ham,u still painting ur wall
spam,bmo noticed unusual activites online account required verify account detail url
spam,price revising soon agni property recommends spaze privy address sec 93 gurgaon 28 lac onwards 2 3 4 bhk apts available book call phone
ham,txting driving
spam,money r lucky winner 2 claim prize text money 2 88600 1million give away ppt150x3 normal text rate box403 w1t1jy
spam,exclusive deal 60
spam,special offer get 25 camera
ham,stop story told returned saying order
ham,lol yep yesterday already got fireplace another icon sitting
ham,u find sitter kaitlyn sick slept day yesterday
spam,come take little time child afraid dark become teenager want stay night
ham,dude sux snake got old raiden got buff
spam,500 international contest
spam,urgent trying contact last weekend draw show 900 prize guaranteed call phone 9 claim code s89 valid 12hrs
spam,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066
ham,home always chat
ham,hey leave big deal take care
spam,valued vodafone customer computer picked win 350 prize collect easy call phone 5
ham,thank wonderful
ham,friend u stay fb chat
ham,hi think match
spam,free entry 2 weekly comp chance win ipod txt pod 80182 get entry std txt rate c apply phone 3 detail 18
ham,yo way could pick something tonight
ham,great aunt anniversary party tarpon spring
spam,limited time offer get 70 product
ham,jus finish bathing
spam,special offer get 40 drone
ham,help packing
ham,aight lemme know
spam,exclusive deal click redeem
spam,50000 seasonal contest
ham,oic better quickly go bathe n settle
spam,earned 10000 reward
spam,luxury holiday bali click claim
ham,sac score big hundred set batsman
spam,heard u4 call 4 rude chat private line phone 4 cum
spam,know someone know fancy call phone 8 find pobox 6 ls15hb 150p
spam,congrats nokia 3650 video camera phone call phone 3 call cost 150ppm ave call 3mins vary mobile
spam,luxury holiday new york click claim
ham,supposed make still town though
ham,sure stomach
spam,received 5000 refund please verify
spam,winner selected diamond ring
ham,let grab pizza sometime
spam,free tone hope enjoyed new content text stop 61610 unsubscribe help phone 2450p provided tones2you co uk
ham,ok u tell wat time u coming later lor
ham,nvm ok
ham,fetch yun u fetch
ham,camera quite good 10 1mega pixel 3optical 5digital doom lovely holiday safe hope hav good journey happy new year see couple week
ham,k addie amp art get home
ham,place ur point e culture module already
spam,special offer get 25 headphone
spam,15000 holiday contest
ham,see requirement please
spam,limited offer 80 speaker
spam,hi sexychat girl waiting text text great night chatting send stop stop service
ham,ok r meeting later
ham,hey pay salary de lt gt
ham,good afternon love today hope good maybe interview wake miss babe passionate kiss across sea
ham,hi dear saw dear happy battery low
spam,special offer get 60 camera
ham,whens radio show
ham,g w r
ham,lol mad first woke gave
ham,wherre boytoy
ham,true k u knw dis lt gt
ham,think sent text home phone cant display text still want send number
spam,2 000 cash 5 000 prize claim call phone 7
spam,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066
spam,today vodafone number ending 5263 selected receive r 2 00 000 award match please call phone quoting claim code 4267 standard rate apply
ham,yun ah wkg btw go nu sc wana specialise wad
ham,thing r good thanx got exam march ive done revision fran still boyf ive gotta interviw 4 exeter bit worried x
ham,exact intention
ham,day working day except saturday sunday
ham,fran decided 2 go n e way im completely broke knackered got bout 3 c u 2mrw love janx p dad fone credit
ham,cal sir meeting
ham,please da call mistake side sorry da pls da goto doctor
ham,way home long dry spell season would
ham,thanks lot wish birthday thanks making birthday truly memorable
spam,chosen receive 350 award pls call claim number phone 1 collect award selected receive valued mobile customer
spam,paypal need immediate attention
ham,home meet u
ham,ceri u rebel sweet dreamz little buddy c ya 2moro need bloke
spam,reminder downloaded content already paid goto url mymoby tv collect content
ham,bull plan go floating ikea without care world live mess another day
ham,da bus going home
ham,ride equally uneventful many pesky cyclist around time night
spam,u subscribed best mobile content service uk 3 per 10 day helpline phone 5
ham,sorry im stil last nite went tobed 430 got 4 work 630
spam,congratulation headphone
spam,save money wedding lingerie url choose superb selection national delivery brought weddingfriend
spam,5000 grand contest
spam,update xmas offer latest motorola sonyericsson nokia free bluetooth double min 1000 txt orange call mobileupd8 phone 2 call2optout f4q
ham,headin towards busetop
spam,urgent message cibc account holder kindly login secure server check information url pianostudio com cibcfullz internet support
spam,special offer get 25 laptop
ham,finished lunch already u wake already
spam,50000 monthly contest
ham,play w computer aiyah tok 2 u lor
ham,kallis home ground amla home town durban
ham,really crashed cuddled sofa
spam,urgent mobile 077xxx 2 000 bonus caller prize 02 06 03 2nd attempt reach call phone 6 asap box97n7qp 150ppm
spam,limited offer 45 gaming console
spam,limited time offer get 50 product
spam,selected 100000 cash prize call now
spam,welcome please reply age gender begin e g 24m
spam,congratulation thanks good friend u 2 000 xmas prize 2 claim easy call phone 1 10p per minute bt national rate
ham,right think
spam,winner u specially selected 2 receive 2000 cash 4 holiday flight inc speak live operator 2 claim phone 910
ham,tonight mate catching sleep new number way
ham,orh tot u say still dun believe
spam,ur tonexs subscription renewed charged 4 50 choose 10 polys month url billing msg
ham,went project centre
ham,great shoot big load get ready
spam,free nokia motorola upto 12mths 1 2price linerental 500 free x net min 100txt mth free b tooth call mobileupd8 phone 2 call 2optout d3wv
spam,special offer get 55 drone
ham,package program well
ham,ok lor sony ericsson salesman ask shuhui say quite gd 2 use considering
spam,instagram requires security verification
ham,damn poor zac stand chance
spam,free msg sorry service ordered 81303 could delivered sufficient credit please top receive service
spam,dear customer internet subscription expired
spam,limited offer 75 laptop
ham,get ten billion call text help god
ham,askd u question hour waiting ur reply
spam,pdate double min 1000 txts orange tariff latest motorola sonyericsson nokia bluetooth free call mobileupd8 phone 2 call2optout yhl
spam,message brought gmw ltd connected
ham,home 9 15
spam,7500 holiday contest
spam,awarded sipix digital camera call phone 6 fromm landline delivery within 12 day
spam,hv completed transaction aud 788 93 06 02 17 03 27 31 pm please follow link done url
spam,today vodafone number ending 7548 selected receive r 2 00 000 award match please call phone quoting claim code 4041 standard rate apply
