message,actual,predicted
RT teatraveler KenLauher Focus On Understanding Yourself Instead Of Blaming Others http bit ly mOOtC,0,1
PotKettleBlack amused irritated by friends comment about large girls in tiny dresses when they are clearly obese circus mirrors Jason,0,1
stevendrozd Ok you asked for it Har har John Parr http www youtube com watch v d thIPddFw,0,1
Kobe s the very best but I love ALL of the rest of our squad Lamar I know you ll prove all of the naysayers WRONG o,0,1
watching my dogs bark at nothing o to be a dog,0,1
Spread the word looking for a passionate band irish gypsy brazilian for next saturday in Devon please RT,0,1
Macelleria thx We love NYC,0,1
NewsWatch U S stocks next week The return of profit growth http bit ly wv x,0,1
Benedict condom http www metafilter com The Benedict Condom,0,1
Smoked chicken http post ly IDdo,0,1
Itsy is a compact and streamlined Twitter client http bit ly vNR E,0,1
Morsom lesing av Norges publiserings hemmende journalister som tror de har fri presse I samme kategori som Kina http bit ly VZR,0,1
I still like an old school RT,0,1
2/2 146tf150p'win tickets..call 08701,0,1
A new version of Mint for Android is out which supports most input methods including hardware keyboards and the popular ShapeWriter,0,1
banjo I think that David C was messing with himself the locality had nothing to do with it,0,1
dasmybaby Ouch that hurts TB,0,1
http bit ly miWy RT,0,1
Gonna make a song with all house hold objects http bit ly a kNvi,0,1
Concerns about Google Caffeine are there serious problems http is gd iYbv,0,1
El nuevo reto que trae la televisin digital al Per la creacin de mejores programas http tinyurl com y szprs,0,1
BjarneBu Watch video re whether new book Game Change is fair journalism or just really juicy incl howardkurtz http bit ly DAYCS,0,1
RT DeliosUK RT greencelebrity Great Tweeps ecotuesday arthurorguk persimew carol winzwolf tiulpan DeliosUK Jankovitch,0,1
ChoHeinz it is hot here also and many tourists are here now,0,1
I just hacked a turret Now it plays Keyboard Cat instead of firing bullets I didn t say it was a violent hack,0,1
jaffejuice not sure how u wld quantify ur complete evolved metrics we use Reach breadth Resonance depth Plus Relevance,0,1
on JoyFM any min http www joy org au http bit ly PHVXj,0,1
sbalmana I haven t installed it yet Please update me once you fix the problem,0,1
darlene that is the way to do it Keep on try till you get it RIGHT,0,1
JoeyHeim I was joking respect The Buffet but not a huge fan,0,1
crazyness vjdabvuhdj,0,1
Reading Austin Monthly Magazine AND very tempting not to up and move there What an awesome place,0,1
The band,0,1
redeyechicago How boutthe Adventures of Blago Peterson ala Harold Kumar Bill Ted Imagine the trouble those would get into,0,1
lindamcevoy I have a good feeling about this one,0,1
Cool New Brunswickers honoured for bravery http bit ly bygfpb,0,1
RT Scobleizer Twitter is better than the BBC EVERY morning Why It has the BBC encapsulated inside of it I have MORE on Twitter,0,1
Unitedairlines stranded my husband and me in Chicago Said you re on your own we rented a car drove hrs home to MI via Mel,0,1
