label,cleaned_message
ham,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply
ham,want come online free talk sometime
ham,u workin overtime nigpun
ham,also sir sent email log usc payment portal send another message explain thing back home great weekend
spam,please stay home encourage notion staying home tax paying citizen entitled 305 96 emergency refund smsg io fcvbd
spam,bankofamerica alert 137943 please follow url activate
ham,sorry dude dont know forgot even dan reminded sorry hope guy fun
ham,quite know still get hold anyone cud pick bout 7 30pm see pub
ham,ok lor anyway thk cant get ticket co like quite late already u wan 2 go look 4 ur frens darren wif
ham,wat r u
ham,buy one egg da please
ham,reason spoken year anyways great week best exam
ham,stop story told returned saying order
ham,dont want hear anything
ham,e person e sm survey
ham,mm food da
ham,4 taco 1 raja burrito right
ham,house maid murderer coz man murdered 26th january
ham,yes pretty lady like single
ham,said text one time
ham,know called
ham,sch neva mind u eat 1st lor
spam,lyricalladie 21 f inviting friend reply yes 910 910 see url stop send stop frnd 62468
ham,jay say double faggot
ham,ok thk got u wan 2 come wat
spam,ur awarded city break could win 200 summer shopping spree every wk txt store 88039 skilgme tscs phone 33
spam,hello orange 1 month free access game news sport plus 10 free text 20 photo message reply yes term apply url
ham,whens radio show
ham,jane babe goin 2 wrk feel ill lst nite foned already cover 4 chuck
spam,new offer save upto 40 electricity bill power saver govt lab tested r 1050 free home delivery 3 yr guarantee call phone phone
ham,u wearing
ham,turn stereo love mi phone unknown album
ham,haha figure well found piece priscilla bowl
ham,online transaction
ham,neva tell noe home da aft wat
spam,valued vodafone customer computer picked win 150 prize collect easy call phone 6
spam,recieve tone within next 24hrs term condition please see channel u teletext pg 750
ham,get second half message
spam,phony 350 award today voda number ending xxxx selected receive 350 award match please call phone 0 quoting claim code 3100 standard rate app
ham,help u swoop picking u wherever ur bird r meeting u want
ham,ok lor whats
ham,hello madam
ham,actually sleeping still might u call back text gr8 rock si send u text wen wake
ham,good think could send pix would love see top bottom
spam,apple id buxcx7gbvwwccod final notification apple 1d due expire today prevent confirming apple id url apple inc
ham,hey mate hows u honey u ave good holiday gimmi de goss x
ham,anybody number still thought tactful way ask alex
ham,taking derek amp taylor walmart back time done leave mouse desk text priscilla ready
ham,ok let knw
ham,bad girl lady
spam,today voda number ending 7548 selected receive 350 award match please call phone 0 quoting claim code 4041 standard rate app
ham,k 2marrow coming class
ham,meeting u work tel shall work tomorrow matter
spam,overcome programming challenge multicore learn technique scale reliability attend intel session 3 45 pm microsoft community techdays
ham,haha leg neck killing amigo hoping end night burn think could swing like hour
ham,every day use sleep lt gt
ham,sorry urgent work
ham,good morning plz call sir urgent work
ham,oh shut omg yesterday dream 2 kid boy pissed kid boy even told mark dream changing diaper cause getting owed face
ham,ahhhh woken bad dream u tho dont like u right didnt know anything comedy night guess im
ham,hard believe thing like say lie think twice saying anything
ham,wow think common take back ur freak unless u chop
spam,5 free top polyphonic tone call phone 37 national rate get toppoly tune sent every week text subpoly 81618 3 per pole unsub phone 0
ham,yup msg tat yijue tot group mate co meeting today mah askin leaving earlier wat mah co mayb haf walk v far
ham,need get
spam,important customer service announcement call freephone 0 phone
ham,howz pain hope u r fine
ham,love girl office may wonder smiling sore
spam,forwarded phone 00 please call phone 0 immediately urgent message waiting
ham,still working time also tried adding zero saving checking lt gt
ham,thing quick question
ham,die accidentally deleted e msg suppose 2 put e sim archive haiz sad
